"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"5962",1681829549,"QuantificationalMatch",1,6,"Yes","Quantificational","anteriores",699,6.54965074223381,1
"5963",1680534393,"QuantificationalMatch",1,12,"Yes","Quantificational","de debate.",406,6.00635315960173,1
"5964",1680626215,"QuantificationalMatch",11,0,"Yes","Quantificational","Las asesinos",2654,7.88382321489215,1
"5965",1680629231,"QuantificationalMatch",14,11,"Yes","Quantificational","organica.",471,6.15485809401642,1
"5966",1680546601,"QuantificationalMatch",11,0,"Yes","Quantificational","Las asesinos",660,6.49223983502047,1
"5967",1680717894,"QuantificationalMatch",12,5,"Yes","Quantificational","en",508,6.23048144757848,1
"5968",1680717894,"QuantificationalMatch",12,2,"Yes","Quantificational","que",372,5.91889385427315,1
"5969",1680717894,"QuantificationalMatch",12,1,"Yes","Quantificational","a los",420,6.04025471127741,1
"5970",1680717894,"QuantificationalMatch",12,10,"Yes","Quantificational","del principe",484,6.18208490671663,1
"5971",1681829549,"QuantificationalMatch",13,8,"Yes","Quantificational","denunciarla",332,5.80513496891649,1
"5972",1680710747,"QuantificationalMatch",16,12,"Yes","Quantificational","del Senado.",550,6.30991827822652,1
"5973",1680710747,"QuantificationalMatch",16,3,"Yes","Quantificational","ninguna senadora",279,5.63121178182137,1
"5974",1681830329,"QuantificationalMatch",1,9,"Yes","Quantificational","ante",316,5.75574221358691,1
"5975",1681830329,"QuantificationalMatch",1,10,"Yes","Quantificational","el prestigioso",350,5.85793315448346,1
"5976",1680714619,"QuantificationalMatch",12,10,"Yes","Quantificational","del principe",480,6.17378610390194,1
"5977",1681838506,"QuantificationalMatch",14,11,"Yes","Quantificational","orgÃ¡nica.",407,6.0088131854426,1
"5978",1680626474,"QuantificationalMatch",10,10,"Yes","Quantificational","el proximo",600,6.39692965521615,1
"5979",1680714619,"QuantificationalMatch",4,10,"Yes","Quantificational","de todos",824,6.71417052990947,1
"5980",1680714619,"QuantificationalMatch",12,2,"Yes","Quantificational","que",368,5.90808293816893,1
"5981",1680714619,"QuantificationalMatch",4,1,"Yes","Quantificational","a los",656,6.48616078894409,1
"5982",1680717894,"QuantificationalMatch",16,8,"Yes","Quantificational","ignorarla",376,5.9295891433899,1
"5983",1680631855,"QuantificationalMatch",16,2,"Yes","Quantificational","que",355,5.87211778947542,1
"5984",1680714619,"QuantificationalMatch",16,7,"Yes","Quantificational","deberian",592,6.383506634884,1
"5985",1680714619,"QuantificationalMatch",16,2,"Yes","Quantificational","que",560,6.3279367837292,1
"5986",1680714619,"QuantificationalMatch",16,4,"Yes","Quantificational","voto",696,6.54534966033442,1
"5987",1680714619,"QuantificationalMatch",16,5,"Yes","Quantificational","en",608,6.41017488196617,1
"5988",1680714619,"QuantificationalMatch",16,3,"Yes","Quantificational","ninguna senadora",872,6.77078942390898,1
"5989",1680714619,"QuantificationalMatch",16,9,"Yes","Quantificational","durante",528,6.26909628370626,1
"5990",1680714619,"QuantificationalMatch",16,6,"Yes","Quantificational","el pleno",592,6.383506634884,1
"5991",1680714619,"QuantificationalMatch",16,1,"Yes","Quantificational","a los",553,6.31535800152233,1
"5992",1680714619,"QuantificationalMatch",16,0,"Yes","Quantificational","Los politicos",631,6.44730586254121,1
"5993",1680427646,"QuantificationalMatch",12,3,"Yes","Quantificational","ningun capitan",523,6.25958146406492,1
"5994",1680427646,"QuantificationalMatch",12,1,"Yes","Quantificational","a los",352,5.8636311755981,1
"5995",1680712699,"QuantificationalMatch",13,3,"Yes","Quantificational","ninguna directora",684,6.52795791762255,1
"5996",1680427646,"QuantificationalMatch",12,8,"Yes","Quantificational","entregarlo",623,6.43454651878745,1
"5997",1680714619,"QuantificationalMatch",20,2,"Yes","Quantificational","que",312,5.74300318780948,1
"5998",1680534393,"QuantificationalMatch",1,0,"Yes","Quantificational","Las profesoras",411,6.01859321449623,1
"5999",1680534393,"QuantificationalMatch",1,3,"Yes","Quantificational","ningun chico",366,5.90263333340137,1
"6000",1680534393,"QuantificationalMatch",1,6,"Yes","Quantificational","anteriores",402,5.99645208861902,1
"6001",1680534393,"QuantificationalMatch",1,5,"Yes","Quantificational","de cursos",370,5.91350300563827,1
"6002",1680534393,"QuantificationalMatch",1,11,"Yes","Quantificational","grupo",404,6.00141487796115,1
"6003",1680546601,"QuantificationalMatch",11,10,"Yes","Quantificational","pistas falsas",898,6.8001700683022,1
"6004",1680710747,"QuantificationalMatch",12,2,"Yes","Quantificational","que",284,5.64897423816121,1
"6005",1680546601,"QuantificationalMatch",11,5,"Yes","Quantificational","tras",721,6.58063913728495,1
"6006",1681838506,"QuantificationalMatch",10,8,"Yes","Quantificational","abuchearlo",408,6.01126717440416,1
